term,synonyms
gas chromatography,glc
gas chromatography-mass spectrometry,gcms|gc-ms|gc ms
gas chromatography-flame ionization detector,gcfid
gas chromatography-isotope ratio mass spectrometry,gc-irms
gas chromatography-time of flight mass spectrometry,gc-tof-ms
high performance liquid chromatography,hplc
ultra high performance liquid chromatography,uhplc
liquid chromatography-mass spectrometry,lc-ms
liquid chromatography-nuclear magnetic resonance,lc-nmr
flash column chromatography,flash chromatography
column chromatography,column chromatography
thin layer chromatography,tlc
high performance thin layer chromatography,hptlc
high speed counter current chromatography,hsccc
ion exchange chromatography,iec
ion chromatography,
gel permeation chromatography,gpc
gel filtration chromatography,gfc
size exclusion chromatography,
nuclear magnetic resonance,nmr
correlation spectroscopy,cosy
nuclear overhauser effect spectroscopy,noesy
heteronuclear single quantum coherence,hsqc
heteronuclear multiple quantum coherence,hmqc
heteronuclear multiple bond correlation,hmbc
mass spectrometry,
high resolution mass spectrometry,hrms
matrix assisted laser desorption ionization,maldi
matrix assisted laser desorption ionization mass spectrometry,maldi-ms
matrix assisted laser desorption ionization time-of-flight mass spectrometry,maldi-tof|maldi-tof ms
direct analysis in real time,dart
electrospray ionization,esi
electrospray ionization mass spectrometry,esi-ms
polyacrylamide gel electrophoresis,page
sodium dodecyl sulfate polyacrylamide gel electrophoresis,sds-page
pulsed-field gel electrophoresis,pfge
agarose gel electrophoresis,gel electrophoresis
capillary electrophoresis,
western blotting,western blot
eastern blotting,eastern blot
southern blotting,southern blot
northern blotting,northern blot
infrared spectroscopy,
fourier transform infrared spectroscopy,ftir
near infrared spectroscopy,nir
attenuated total reflectance,atr
attenuated total reflectance fourier transform infrared spectroscopy,atr-ftir
ultraviolet visible spectroscopy,uv-vis|uv-visible spectroscopy
x-ray diffraction,xrd
scanning electron microscopy,sem
transmission electron microscopy,tem
raman spectroscopy,
surface enhanced raman spectroscopy,sers
dpph assay,dpph
ferric reducing antioxidant power,frap
oxygen radical absorbance capacity,orac
trolox equivalent antioxidant capacity,teac
total radical trapping antioxidant parameter,trap
abts assay,abts
minimum inhibitory concentration,
acoustic resonance spectroscopy,
affinity chromatography,
aqueous normal-phase chromatography,
arc emission spectroscopy,
atomic absorption spectroscopy,
atomic emission spectroscopy,
auger electron spectroscopy,
cavity ring-down spectroscopy,
chiral chromatography,
circular dichroism spectroscopy,
coherent anti-stokes raman spectroscopy,
cold vapour atomic fluorescence spectroscopy,
counter-current chromatography,
deep-level transient spectroscopy,
dielectric spectroscopy,
displacement chromatography,
dual-polarization interferometry,
electron energy loss spectroscopy,
electron paramagnetic resonance spectroscopy,
expanded bed adsorption chromatography,
fast protein liquid chromatography,
flame ionization detector,
force spectroscopy,
hadron spectroscopy,
headspace gas chromatography,
hydrophobic interaction chromatography,
hyperspectral imaging,
inelastic electron tunneling spectroscopy,
inelastic neutron scattering,
ion-exchange chromatography,
laser spectroscopy,
laser-induced breakdown spectroscopy,
laser-induced plasma spectrometry,
liquid chromatography,
molecular sieve chromatography,
mr spectroscopy,
multivariate optical computing,
mössbauer spectroscopy,mossbauer spectroscopy
neutron spin echo spectroscopy,
normal-phase chromatography,
olfactory evaluation,
paper chromatography,
periodic counter-current chromatography,
photoacoustic spectroscopy,
photoemission spectroscopy,
photothermal spectroscopy,
planar chromatography,
pump probe spectroscopy,
pyrolysis,
raman optical activity spectroscopy,
reversed-phase chromatography,
saturated absorption spectroscopy,
scanning tunneling spectroscopy,
simulated moving-bed chromatography,
size-exclusion chromatography,
spark emission spectroscopy,
spin noise spectroscopy,
supercritical fluid chromatography,
thermal infrared spectroscopy,
time-resolved spectroscopy,
time-stretch spectroscopy,
transient grating spectroscopy,
two-dimensional chromatography,
ultraviolet photoelectron spectroscopy,
vibrational circular dichroism spectroscopy,
x-ray photoelectron spectroscopy,
two-dimensional correlation spectroscopy,
