term,synonyms
anti neuralgic, 
muscle relaxant,myorelaxant
anti mutagen,anti mutagenic 
anti oxidant,anti radical 
insect repellent,insectifuge
hepatotoxic,hepatotoxicant|hepatotoxin
expectorant,mucokinetic|expectorant
anti perspirant, 
nephrotoxicity,nephrotoxic agent|nephrotoxicant
cytokine modulator,cytokine promotor 
anti hemorrhagic, 
immunomodulator,immunomodulator
protease inhibitor,
lipoxygenase inhibitor,
analgesic, 
herbicide, 
insecticide, 
histaminergic, 
gabaergic,GABA agent 
genotoxic,genotoxin 
allergenic, 
carcinogen,carcinogenic 
adenosine inhibitor, 
allelochemic,allelopathic
mitogen,mitogenic
fungicidal,fungicide
hallucinogenic, 
neuroprotection,neuroprotective|neuroprotectant
diuretic, 
phototoxic,phototoxicity 
anti irritant,gastric irritant|skin irritant 
anti coagulant, 
laxative, 
anti obesity, 
immunosuppressant,immunosuppressive agent
acetylcholinesterase inhibitor,anti acetylcholinesterase 
antacid, 
anti diarrheic,anti diarrhoeal 
anti septic, 
anti cancer,anti neoplastic|anti tumor 
anti prostaglandin, 
anti pruritic, 
anti histaminic, histamine antagonist|histamine inhibitor 
anti hepatotoxic,hepatoprotection|hepatoprotective 
neurotoxic,neurotoxin|neurotoxicant
anti ulcer, 
enterotoxin, 
anti allergen,anti allergenic|anti allergic 
anti asthmatic,anti-asthmatic  
anti scar,cicatrizant 
spermicide, 
anti malarial, 
anti diabetic,anti hyperglycemic 
anti fibrinolytic, 
anti hypertensive, 
anti convulsant, 
anti fungal,anti mycotic|fungistat
anti parasitic, 
anti inflammatory, 
anti protozoal, 
anti pyretic,febrifuge 
anti tussive, 
anti hyperkeratinization, 
anti microbial, 
anti mitotic,mitotic inhibitor 
anti bacteria,anti bacterial|anti pertussic|anti pertussive|bactericidal|bactericide 
anti viral, 
anti leukotriene,leukotriene inhibitor 
anti acne, 
anti melasmic, 
anti proliferative,
virucidal,virucide
phytotoxic,
prooxidant,
anti plasmodial,
anti cytotoxic,
