term,synonyms
# === VEGETATIVE STAGES ===,
seedling stage,seedling|seedlings
vegetative,vegetative stage|vegetation
germination,
sprouting,
# === FLOWERING STAGES ===,
floral budding stage,floral budding|budding stage
post-flowering,
pre-flowering,before flowering
flowering,flowering stage|flowering period
full flowering,full bloom|full flowering stage
blooming,blooming stage
maturation stage,mature stage|maturation
# === FRUITING STAGES ===,
fruiting stage,fruiting|fruiting period
# === SEED STAGES ===,
seed setting stage,seed setting|seed formation|seeding stages
seed germination,
seed maturity stage,seed maturity
reproductive stage,reproductive phase|reproductive growth
ripening stage,ripening|ripe stage|fruit ripening
leaf development stage,
# === HARVEST STAGES ===,
harvest,harvesting stage
# === SPECIALIZED STAGES ===,
adult stage,adult plant
dormancy,dormant|rest period|winter dormancy
senescent stage,senescent|senescence
