scientific_name,common_name,source_db,source_url,taxon_id
Lantana camara,Wild Sage,GBIF,https://www.gbif.org/species/2925303,2925303
Cymbopogon citratus,Lemon Grass,GBIF,https://www.gbif.org/species/2705275,2705275
Satureja hortensis,Summer Savory,GBIF,https://www.gbif.org/species/2926885,2926885
Alpinia galanga,Greater Galangal,GBIF,https://www.gbif.org/species/5302225,5302225
Acorus calamus,Calamus,GBIF,https://www.gbif.org/species/2873769,2873769
Nepeta racemosa,Raceme Catnip,GBIF,https://www.gbif.org/species/5341497,5341497
Ageratum conyzoides,Tropical whiteweed,GBIF,https://www.gbif.org/species/5401673,5401673
Carica papaya,Papaw,GBIF,https://www.gbif.org/species/2874484,2874484
Kaempferia angustifolia,,GBIF,https://www.gbif.org/species/5301462,5301462
Kaempferia rotunda,Kaempferia,GBIF,https://www.gbif.org/species/5301445,5301445
Hyparrhenia rufa,Jaraguagrass,GBIF,https://www.gbif.org/species/2703246,2703246
Cymbopogon winterianus,,GBIF,https://www.gbif.org/species/2705273,2705273
Pandanus odoratissimus,,GBIF,https://www.gbif.org/species/8291402,8291402
Amomum subulatum,Bengal cardamom,GBIF,https://www.gbif.org/species/5301632,5301632
Cyperus esculentus,Chufa (edible Variety),GBIF,https://www.gbif.org/species/2716226,2716226
Aframomum melegueta,Grains of Paradise,GBIF,https://www.gbif.org/species/2758930,2758930
Scleria hirtella,Riverswamp Nutrush,GBIF,https://www.gbif.org/species/2712340,2712340
Aframomum corrorima,Ethiopian cardamom,GBIF,https://www.gbif.org/species/2758889,2758889
Lavandula dentata,French Lavender,GBIF,https://www.gbif.org/species/7307829,7307829
Curcuma angustifolia,East Indian arrowroot,GBIF,https://www.gbif.org/species/2757542,2757542
Aframomum exscapum,,GBIF,https://www.gbif.org/species/2758812,2758812
Curcuma longa,Common Turmeric,GBIF,https://www.gbif.org/species/2757624,2757624
Zingiber neesanum,,GBIF,https://www.gbif.org/species/2757082,2757082
Curcuma haritha,,GBIF,https://www.gbif.org/species/2757647,2757647
Eupatorium cannabinum,,GBIF,https://www.gbif.org/species/5402943,5402943
Artemisia santolina,,GBIF,https://www.gbif.org/species/3121315,3121315
Artemisia gypsacea,,GBIF,https://www.gbif.org/species/3121627,3121627
Pistacia atlantica,Atlantic Pistachio,GBIF,https://www.gbif.org/species/3190581,3190581
Teucrium orientale,Oriental germander,GBIF,https://www.gbif.org/species/2926897,2926897
Artemisia annua,Annual Mugwort,GBIF,https://www.gbif.org/species/8373355,8373355
Cymbopogon nardus,Ceylon citronella,GBIF,https://www.gbif.org/species/2705267,2705267
Gossypium raimondii,,GBIF,https://www.gbif.org/species/3933091,3933091
Mentha longifolia,Horse Mint,GBIF,https://www.gbif.org/species/7510173,7510173
Mikania cordata,Assamlata,GBIF,https://www.gbif.org/species/5398634,5398634
Pulicaria dysenterica,Common Fleabane,GBIF,https://www.gbif.org/species/3095609,3095609
Vitis vinifera,Common Grapevine,GBIF,https://www.gbif.org/species/5372392,5372392
Thymus algeriensis,,GBIF,https://www.gbif.org/species/5607769,5607769
Thymus vulgaris,English thyme,GBIF,https://www.gbif.org/species/5341442,5341442
Origanum majorana,Pot Majoram,GBIF,https://www.gbif.org/species/2926615,2926615
Thymus numidicus,,GBIF,https://www.gbif.org/species/7306910,7306910
Montanoa tomentosa,,GBIF,https://www.gbif.org/species/5406080,5406080
Daucus carota,Carrot,GBIF,https://www.gbif.org/species/3034742,3034742
Ferula glauca,,GBIF,https://www.gbif.org/species/3638472,3638472
Arabidopsis thaliana,Arabidopsis,GBIF,https://www.gbif.org/species/3052436,3052436
Cymbopogon giganteus,,GBIF,https://www.gbif.org/species/4139089,4139089
Achillea millefolium,Bloodwort,GBIF,https://www.gbif.org/species/3120060,3120060
Cicer arietinum,Bengal Gram,GBIF,https://www.gbif.org/species/2947311,2947311
Sideritis syriaca,,GBIF,https://www.gbif.org/species/7961270,7961270
Sideritis clandestina,,GBIF,https://www.gbif.org/species/7307873,7307873
Sideritis sipylea,,GBIF,https://www.gbif.org/species/3888734,3888734
Sideritis raeseri,,GBIF,https://www.gbif.org/species/7307453,7307453
Salvia officinalis,Kitchen Sage,GBIF,https://www.gbif.org/species/2927004,2927004
Micromeria cristata,,GBIF,https://www.gbif.org/species/7307169,7307169
Coriandrum sativum,Chinese Parsley,GBIF,https://www.gbif.org/species/3034871,3034871
Salvia fruticosa,Greek Oregano,GBIF,https://www.gbif.org/species/6412283,6412283
Mentha pulegium,European pennyroyal,GBIF,https://www.gbif.org/species/2927189,2927189
Origanum vulgare,,GBIF,https://www.gbif.org/species/2926612,2926612
Lavandula angustifolia,English Lavendar,GBIF,https://www.gbif.org/species/2927305,2927305
Origanum dictamnus,Cretan Oregano,GBIF,https://www.gbif.org/species/3894972,3894972
Satureja montana,Savory,GBIF,https://www.gbif.org/species/2926884,2926884
Nepeta cataria,Cat-Mint,GBIF,https://www.gbif.org/species/5341499,5341499
Thymus spinulosus,,GBIF,https://www.gbif.org/species/5605285,5605285
Thymus pectinatus,,GBIF,https://www.gbif.org/species/7306830,7306830
Mentha microphylla,,GBIF,https://www.gbif.org/species/3898541,3898541
Melissa officinalis,Balm,GBIF,https://www.gbif.org/species/5341501,5341501
Ocimum basilicum,Basil,GBIF,https://www.gbif.org/species/2927096,2927096
Satureja spinosa,,GBIF,https://www.gbif.org/species/7523676,7523676
Satureja parnassica,,GBIF,https://www.gbif.org/species/7309367,7309367
Satureja thymbra,,GBIF,https://www.gbif.org/species/3902859,3902859
Thymus longicaulis,,GBIF,https://www.gbif.org/species/7307062,7307062
Origanum acutidens,,GBIF,https://www.gbif.org/species/3895404,3895404
Lavandula stoechas,French Lavender,GBIF,https://www.gbif.org/species/2927303,2927303
Fritillaria imperialis,Imperial Fritillary,GBIF,https://www.gbif.org/species/5300716,5300716
Fritillaria raddeana,,GBIF,https://www.gbif.org/species/5300490,5300490
Fritillaria eduardii,,GBIF,https://www.gbif.org/species/7773502,7773502
Salvia macrochlamys,,GBIF,https://www.gbif.org/species/3896936,3896936
Salvia recognita,,GBIF,https://www.gbif.org/species/3889886,3889886
Hypericum hircinum,Stinking Tutsan,GBIF,https://www.gbif.org/species/6436603,6436603
Crinum latifolium,,GBIF,https://www.gbif.org/species/2853901,2853901
Cirsium japonicum,Japanese thistle,GBIF,https://www.gbif.org/species/3112887,3112887
Hedychium larsenii,,GBIF,https://www.gbif.org/species/2758715,2758715
Curcuma amada,Mango Ginger,GBIF,https://www.gbif.org/species/2757535,2757535
Mentha aquatica,,GBIF,https://www.gbif.org/species/2927208,2927208
Dracocephalum moldavica,Moldavian Dragon-head,GBIF,https://www.gbif.org/species/2927222,2927222
Ferulago angulata,,GBIF,https://www.gbif.org/species/6026890,6026890
Stachys byzantina,Lamb's-Ear,GBIF,https://www.gbif.org/species/2927230,2927230
Foeniculum vulgare,Aniseed-weed,GBIF,https://www.gbif.org/species/3034922,3034922
Marrubium astracanicum,,GBIF,https://www.gbif.org/species/7545546,7545546
Salvia glutinosa,Jupiter's distaff,GBIF,https://www.gbif.org/species/2927026,2927026
Salvia sclarea,Adaçayı,GBIF,https://www.gbif.org/species/2927000,2927000
Sideritis scardica,Greek Mountain Tea,GBIF,https://www.gbif.org/species/7307419,7307419
Ichthyothere cunabi,,GBIF,https://www.gbif.org/species/3125465,3125465
Ichthyothere terminalis,,GBIF,https://www.gbif.org/species/7979224,7979224
Thymus leucostomus,,GBIF,https://www.gbif.org/species/7307123,7307123
Agastache foeniculum,Anise-hyssop,GBIF,https://www.gbif.org/species/2926406,2926406
Micromeria biflora,,GBIF,https://www.gbif.org/species/7307212,7307212
Artemisia absinthium,Absinth Sagewort,GBIF,https://www.gbif.org/species/3121319,3121319
Ambrosia microcephala,,GBIF,https://www.gbif.org/species/3110585,3110585
Thymus subcollinus,,GBIF,https://www.gbif.org/species/5605244,5605244
Mentha grandiflora,,GBIF,https://www.gbif.org/species/3900471,3900471
Mentha piperita,Black Peppermint,GBIF,https://www.gbif.org/species/8707933,8707933
Thymus atticus,,GBIF,https://www.gbif.org/species/5607698,5607698
Thymus roegneri,,GBIF,https://www.gbif.org/species/5605565,5605565
Teucrium sandrasicum,,GBIF,https://www.gbif.org/species/3893397,3893397
Teucrium pestalozzae,,GBIF,https://www.gbif.org/species/3894575,3894575
Teucrium montanum,,GBIF,https://www.gbif.org/species/7308294,7308294
Thymus mastichina,Spanish marjoram,GBIF,https://www.gbif.org/species/7307002,7307002
Thymus baeticus,Spanish Lemon Thyme,GBIF,https://www.gbif.org/species/8363061,8363061
Thymus arundanus,,GBIF,https://www.gbif.org/species/5607725,5607725
Salvia hydrangea,,GBIF,https://www.gbif.org/species/3899887,3899887
Flourensia cernua,American tarwort,GBIF,https://www.gbif.org/species/3094540,3094540
Teucrium creticum,,GBIF,https://www.gbif.org/species/3897353,3897353
Satureja horvatii,,GBIF,https://www.gbif.org/species/7309569,7309569
Hippia frutescens,,GBIF,https://www.gbif.org/species/5386438,5386438
Salvia sahendica,,GBIF,https://www.gbif.org/species/3888503,3888503
Micromeria cremnophila,,GBIF,https://www.gbif.org/species/7307179,7307179
Bupleurum gibraltarium,,GBIF,https://www.gbif.org/species/8001350,8001350
Minthostachys verticillata,,GBIF,https://www.gbif.org/species/3884472,3884472
Origanum boissieri,,GBIF,https://www.gbif.org/species/3895226,3895226
Origanum bargyli,,GBIF,https://www.gbif.org/species/3895268,3895268
Prangos ferulacea,,GBIF,https://www.gbif.org/species/3630714,3630714
Tessaria absinthioides,,GBIF,https://www.gbif.org/species/3114905,3114905
Melampodium camphoratum,,GBIF,https://www.gbif.org/species/7872731,7872731
Teucrium flavum,,GBIF,https://www.gbif.org/species/3887754,3887754
Salvia pratensis,Introduced sage,GBIF,https://www.gbif.org/species/2927007,2927007
Parthenium hysterophorus,Santa Maria,GBIF,https://www.gbif.org/species/3086784,3086784
Nepeta sulfuriflora,,GBIF,https://www.gbif.org/species/5609598,5609598
Tagetes minuta,Aztec marigold,GBIF,https://www.gbif.org/species/3088481,3088481
Eucalyptus alba,Timor white gum,GBIF,https://www.gbif.org/species/3176384,3176384
Pycnocycla spinosa,,GBIF,https://www.gbif.org/species/7615057,7615057
Thymus canoviridis,,GBIF,https://www.gbif.org/species/5607514,5607514
Homoranthus flavescens,,GBIF,https://www.gbif.org/species/3185472,3185472
Homoranthus montanus,,GBIF,https://www.gbif.org/species/3185505,3185505
Eucalyptus camaldulensis,,GBIF,https://www.gbif.org/species/11869920,11869920
Echinophora tournefortii,,GBIF,https://www.gbif.org/species/5538695,5538695
Echinophora orientalis,,GBIF,https://www.gbif.org/species/5538735,5538735
Echinophora trichophylla,,GBIF,https://www.gbif.org/species/5538690,5538690
Echinophora tenuifolia,,GBIF,https://www.gbif.org/species/5538701,5538701
Psidium cattleianum,Cattley guava,GBIF,https://www.gbif.org/species/5420641,5420641
Mikania laevigata,,GBIF,https://www.gbif.org/species/5398847,5398847
Mikania involucrata,,GBIF,https://www.gbif.org/species/5398925,5398925
Bupleurum fruticosum,Shrubby Hare's-ear,GBIF,https://www.gbif.org/species/3638793,3638793
Nepeta nuda,Hairless Cat-mint,GBIF,https://www.gbif.org/species/7309059,7309059
Callistemon citrinus,Crimson bottlebrush,GBIF,https://www.gbif.org/species/3173413,3173413
Bifora radians,Wild Bishop,GBIF,https://www.gbif.org/species/5371870,5371870
Anthriscus cerefolium,Chervil,GBIF,https://www.gbif.org/species/5371746,5371746
Lomatium torreyi,Sierra biscuitroot,GBIF,https://www.gbif.org/species/3034307,3034307
Eupatorium coelestinum,,GBIF,https://www.gbif.org/species/7400732,7400732
Mentha gracilis,Bushy Mint,GBIF,https://www.gbif.org/species/7923052,7923052
Satureja pilosa,,GBIF,https://www.gbif.org/species/7309348,7309348
Satureja icarica,,GBIF,https://www.gbif.org/species/3905643,3905643
Anethum graveolens,Dill,GBIF,https://www.gbif.org/species/3034646,3034646
Helichrysum stoechas,goldilocks,GBIF,https://www.gbif.org/species/3131494,3131494
Heracleum argaeum,,GBIF,https://www.gbif.org/species/3630564,3630564
Hyssopus officinalis,Hyssop,GBIF,https://www.gbif.org/species/5341387,5341387
Chamaemelum nobile,Chamomile,GBIF,https://www.gbif.org/species/5391599,5391599
Ocimum gratissimum,African basil,GBIF,https://www.gbif.org/species/2927094,2927094
Marrubium peregrinum,Horehound,GBIF,https://www.gbif.org/species/3905970,3905970
Marrubium vulgare,Horehound,GBIF,https://www.gbif.org/species/2927069,2927069
Syzygium cordatum,umdoni,GBIF,https://www.gbif.org/species/8652576,8652576
Trinia glauca,Honewort,GBIF,https://www.gbif.org/species/6027378,6027378
Callistemon teretifolius,green bottlebrush,GBIF,https://www.gbif.org/species/3173478,3173478
Callistemon montanus,mountain bottlebrush,GBIF,https://www.gbif.org/species/3173447,3173447
Callistemon acuminatus,,GBIF,https://www.gbif.org/species/3173434,3173434
Callistemon viminalis,Weeping Bottlebrush,GBIF,https://www.gbif.org/species/3173353,3173353
Callistemon pearsonii,,GBIF,https://www.gbif.org/species/3173432,3173432
Callistemon pinifolius,pine-leaf bottlebrush,GBIF,https://www.gbif.org/species/3173403,3173403
Callistemon kenmorrisonii,,GBIF,https://www.gbif.org/species/3173372,3173372
Callistemon pachyphyllus,wallum bottlebrush,GBIF,https://www.gbif.org/species/3173375,3173375
Callistemon pityoides,,GBIF,https://www.gbif.org/species/3717108,3717108
Callistemon genofluvialis,,GBIF,https://www.gbif.org/species/3173348,3173348
Callistemon linearifolius,,GBIF,https://www.gbif.org/species/3173395,3173395
Callistemon linearis,narrow-leaf bottlebrush,GBIF,https://www.gbif.org/species/3173349,3173349
Callistemon phoeniceus,lesser bottlebrush,GBIF,https://www.gbif.org/species/3173443,3173443
Callistemon rigidus,bottlebrush,GBIF,https://www.gbif.org/species/3173407,3173407
Callistemon salignus,pink-tip bottlebrush,GBIF,https://www.gbif.org/species/3173480,3173480
Callistemon pungens,,GBIF,https://www.gbif.org/species/3173373,3173373
Callistemon subulatus,,GBIF,https://www.gbif.org/species/3173436,3173436
Callistemon flavovirens,,GBIF,https://www.gbif.org/species/3173389,3173389
Callistemon formosus,,GBIF,https://www.gbif.org/species/3173430,3173430
Callistemon recurvus,,GBIF,https://www.gbif.org/species/3173449,3173449
