term,synonyms
anti neuralgic, 
muscle relaxant,myorelaxant
anti mutagen,anti mutagenic 
anti oxidant,anti radical|antioxidant|antioxidative
insect repellent,insectifuge
hepatotoxic,hepatotoxicant|hepatotoxin|hepatotoxicity
expectorant,mucokinetic|expectorant
anti perspirant, 
nephrotoxicity,nephrotoxic agent|nephrotoxicant
cytokine modulator,cytokine promotor 
anti hemorrhagic, 
immunomodulator,immunomodulator
protease inhibitor,
lipoxygenase inhibitor,
analgesic, 
herbicide,herbicidal|bioherbicide
insecticide,insecticidal
histaminergic, 
gabaergic,GABA agent 
genotoxic,genotoxin|genotoxicity
allergenic, 
carcinogen,carcinogenic 
adenosine inhibitor, 
allelochemic,allelopathic
mitogen,mitogenic
fungicidal,fungicide
hallucinogenic, 
neuroprotection,neuroprotective|neuroprotectant
diuretic, 
phototoxic,phototoxicity 
anti irritant,gastric irritant|skin irritant 
anti coagulant, 
laxative, 
anti obesity, 
immunosuppressant,immunosuppressive agent
acetylcholinesterase inhibitor,anti acetylcholinesterase|antiacetylcholinesterase|antiacetylcholinesterase activity
antacid, 
anti diarrheic,anti diarrhoeal 
anti septic,antiseptic
anti cancer,anti neoplastic|anti tumor|anticancer|antitumor|anti-cancer
anti prostaglandin, 
anti pruritic, 
anti histaminic, histamine antagonist|histamine inhibitor 
anti hepatotoxic,hepatoprotection|hepatoprotective 
neurotoxic,neurotoxin|neurotoxicant
anti ulcer, 
enterotoxin, 
anti allergen,anti allergenic|anti allergic 
anti asthmatic,anti-asthmatic  
anti scar,cicatrizant 
spermicide, 
anti malarial, 
anti diabetic,anti hyperglycemic|antidiabetic
anti fibrinolytic, 
anti hypertensive, 
anti convulsant, 
anti fungal,anti mycotic|fungistat|antifungal|anti-mycotic|fungistatic|fungitoxic|anticandidal
anti parasitic, 
anti inflammatory,anti-inflammatory
anti protozoal, 
anti pyretic,febrifuge 
anti tussive, 
anti hyperkeratinization, 
anti microbial,antimicrobial
anti mitotic,mitotic inhibitor 
anti bacteria,anti bacterial|anti pertussic|anti pertussive|bactericidal|bactericide|anti-bacterial|antibacterial 
anti viral, 
anti leukotriene,leukotriene inhibitor 
anti acne, 
anti melasmic, 
anti proliferative,antiproliferative
virucidal,virucide
phytotoxic,
prooxidant,pro-oxidant
anti plasmodial,
anti cytotoxic,
anticholinesterase,
scavenging activity,
cytotoxic,cytotoxicity
antinociceptive,
larvicidal,larvicidal activity
anesthetic,
inhibitory effect,inhibitory effects
